x1,x2,y
2.154398,-0.26726097,9.272833
-1.5689173,0.5428866,-0.7476309
2.649014,-1.8007466,15.545037
0.74503696,-1.4627446,10.625515
0.5903153,-0.19062746,6.017072
0.34532565,0.74440444,2.1764026
1.2326038,-1.2253548,10.766734
-1.5365151,-1.5687364,6.2778444
0.38101792,0.521494,3.1989565
-2.127305,-0.027677046,0.0644391
-0.27453694,1.1156265,-0.16614288
0.63069934,1.5620234,0.09296134
-0.58477473,-0.012668289,3.1608157
0.040523544,-0.076462224,4.9179335
-0.34700462,0.1862138,2.8944461
-0.48443773,0.09887432,2.715419
-0.062598206,0.35119253,2.9724867
-1.0100089,-0.97451633,5.428219
-1.885206,-1.4920194,5.488429
1.0121684,0.6814316,3.833407
1.0849656,-0.36455384,7.575271
-0.2016851,-1.1568426,7.8146276
-1.6226605,-1.4671574,5.92279
0.2700482,-0.886722,7.7427354
-1.6700815,-0.3997025,2.1336343
0.025564605,0.931791,1.0093778
1.093101,-0.7997919,9.138578
0.557125,-0.6956989,7.928515
1.5607153,-1.0607113,11.07
-0.33660305,1.1059315,-0.36658615
1.3665953,1.0285479,3.347474
0.5538564,-0.3787849,6.515661
-1.6634091,0.19023752,0.20204107
2.1190715,0.16716929,7.8078833
1.1537706,-1.591679,11.963215
3.310078,-0.24747847,11.743023
0.6955551,-0.13621686,6.1787496
-1.8954185,0.4354221,-1.0611553
-0.9591043,-0.6763371,4.6783624
1.589485,1.9481382,0.6707265
1.2378557,-1.287531,10.969855
0.46846324,1.1256664,1.2942749
-1.2773584,0.11990302,1.1979159
-0.3082865,-0.13096902,3.965785
-0.5674332,1.3917637,-1.5322108
1.7765801,0.7343397,5.1662784
0.31751317,-0.25100702,5.666514
-1.8205569,0.20819926,-0.107096024
0.33472383,0.16519317,4.421612
0.34676743,0.3862856,3.2602887
-0.6229375,-0.5674195,5.0190926
0.5672597,-1.5980552,10.588671
-0.21001941,1.3341644,-0.88614154
-1.5475273,-0.1599154,1.5081218
-0.22099617,-1.5029081,8.882634
-0.8125275,-1.0171651,6.0581594
0.35471183,0.9152368,1.786401
0.71351075,1.0602933,2.1820157
-1.3900684,0.0066617643,1.5397472
-2.7687151,-1.2709984,2.8787444
-1.7920387,2.2548711,-6.851544
-0.55558574,1.9818912,-3.6729097
0.91787875,-0.49449134,7.625477
1.9115728,0.604156,5.926044
1.7702887,0.27503318,6.93331
0.1375741,0.45968089,2.8681345
-2.0865803,-0.7192192,2.436638
-0.3188217,-1.0043179,6.974728
-1.2320896,-0.5462921,3.6133513
-0.42684594,-0.8476087,6.1960826
0.64324874,1.0485339,2.060931
